GATE_DS_SB: 714.5397,626.7742,579.7703,494.0681,2,0
GATE_SB_SL: 4366.826,665.7496,3157.81,457.7892,1,0
GATE_LF_SB: -946.1764,1431.748,-570.1892,1226.789,1,0
GATE_SB_TR: 3652.793,863.2162,2829.125,901.6431,0,0
SB_ROOTSAVE: 3636.349,705.6193,2828.413,765.8729,0,0
SB_F03: -1114.713,1126.161,-710.0518,821.2179,1,0
SB_A10: -936.4467,1187.691,-572.9296,1076.811,1,0
SB_A09: -1373.326,943.0646,-884.7907,845.6703,1,0
SB_H03: -1142.736,698.3566,-884.9058,589.0229,1,1
SB_S06: -1521.594,648.236,-1010.624,599.1014,1,0
SB_H02: -518.7355,583.3566,-444.9059,513.0229,1,1
SB_A04: -913.7356,497.3563,-570.9055,498.0233,1,1
SB_A13: -1071.155,497.6746,-680.7286,496.5923,1,1
SB_A01: -794.7356,464.3564,-495.9056,346.0232,2,1
SB_A11: -756.6738,353.0576,-487.8387,214.7189,1,1
SB_B01: -456.7354,378.3564,-356.9059,212.0234,1,1
SB_S07: -513.4407,265.0494,-336.7249,79.6098,1,0
SB_A12: -155.6735,356.0576,-39.83859,199.7192,1,1
SB_C01: -486.7354,471.3566,-372.9059,349.0232,2,1
SB_B02: -89.73547,476.3566,-56.90581,341.0232,2,1
SB_C05: 45.26443,58.35636,91.09425,45.02269,2,0
SB_A03: -130.7356,535.3566,0.09410162,453.023,1,1
SB_E04: 257.2642,628.3566,34.09427,586.0229,1,1
SB_C06: 295.2642,389.3568,235.0939,303.0232,2,0
SB_S03: 294.5397,384.7745,340.7708,405.068,2,0
SB_F02: 329.2642,85.3565,224.0942,19.02275,2,3
SB_D04: 568.2646,388.3564,460.0932,186.0229,2,3
SB_S04: 554.2629,667.9468,457.3042,529.1061,2,0
SB_G03: 1275.268,644.3566,582.0933,590.0229,1,1
SB_F01: 1124.268,400.3564,736.0956,109.0229,2,3
SB_J01: 2196.266,682.3566,1321.094,582.0229,1,1
SB_E02: 2977.266,745.3566,1969.094,655.0229,1,1
SB_G02: 3904.266,745.3566,2537.094,655.0229,1,1
SB_S05: 4505.59,748.0676,3289.246,655.2849,1,0
SB_C07: 2378.266,632.3566,1621.094,444.0228,0,1
SB_J02: 2988.266,552.3566,1966.094,360.0232,0,1
SB_J03: 2315.266,484.3563,1464.094,213.0231,1,0
SB_S02: 2847.156,415.9219,2287.753,76.34509,1,0
SB_I01: 227.2644,-272.6436,109.0941,-291.9767,2,3
SB_S01: 226.4215,-105.2902,214.7203,16.12035,1,0
SB_D06: 41.26442,-651.6434,87.09415,-648.9779,2,0
SB_E05: -233.7357,-879.6434,-311.9058,-784.9771,1,2
SB_A14: -709.5931,-879.764,-479.6231,-741.8986,1,2
SB_D02: -1108.736,-880.6434,-904.9058,-736.9771,1,2
SB_A02: -974.7354,-774.6434,-659.9056,-522.977,2,2
SB_J04: -1588.732,-785.6434,-1253.907,-573.9771,2,2
SB_A08: -2202.733,-833.6434,-1478.906,-567.9767,2,2
SB_B03: -2365.734,-782.6434,-1624.906,-575.9767,1,2
SB_A07: -2248.733,-953.6445,-1558.906,-777.9771,1,2
SB_E03: -1798.732,-874.6434,-1444.903,-735.9771,1,2
SB_D05: -1571.732,-957.6445,-1187.907,-867.9771,0,2
SB_A06: -1534.732,-1066.644,-1002.906,-984.9767,0,2
SB_A05: -1250.735,-1064.644,-837.9056,-951.9771,0,2
SB_D03: -2746.734,-854.6434,-2070.906,-581.9767,1,2
SB_D07: -3051.734,-1136.645,-2116.906,-1020.977,1,2
SB_D01: -2767.36,-1426.01,-2007.438,-1140.534,1,2
SB_C08: -2315.674,-1473.05,-1774.639,-1138.121,1,2
SB_E01: -1659.36,-1468.01,-1458.438,-1140.534,1,2
SB_E06: -873.3621,-1479.01,-935.4374,-1145.534,1,2
SB_C09: -382.6751,-1598.05,-384.6384,-1311.121,1,2
SB_L01: 26.63801,-1837.01,-248.4373,-1477.534,1,2
SB_ROOTACCESS: 3103.285,818.1996,2194.977,813.889,0,1
OffScreenDen_SB: -542.7355,-210.6435,603.0933,-2.977394,1,1
Connection: GATE_DS_SB,SB_D04,11,5,42,142,3,0
Connection: GATE_SB_SL,SB_G02,11,19,322,1,1,3
Connection: GATE_LF_SB,SB_F03,2,9,50,209,2,0
Connection: GATE_SB_TR,SB_ROOTACCESS,2,9,290,28,2,0
Connection: GATE_SB_TR,SB_ROOTSAVE,11,5,15,26,3,1
Connection: SB_F03,SB_A10,47,139,5,12,3,2
Connection: SB_F03,SB_A09,13,56,45,16,2,0
Connection: SB_F03,SB_H03,41,16,130,75,3,2
Connection: SB_A09,SB_H03,6,3,7,72,3,2
Connection: SB_H03,SB_S06,4,9,35,4,2,0
Connection: SB_H03,SB_H02,196,9,6,47,0,2
Connection: SB_H02,SB_E04,199,47,5,12,0,2
Connection: SB_H02,SB_A03,199,21,3,11,0,2
Connection: SB_H02,SB_A04,11,20,48,27,2,0
Connection: SB_A04,SB_A13,3,25,45,25,2,0
Connection: SB_A04,SB_A01,48,6,3,17,0,2
Connection: SB_A01,SB_A11,6,4,5,21,3,1
Connection: SB_A01,SB_C01,48,7,5,4,0,3
Connection: SB_A11,SB_B01,45,16,8,13,0,3
Connection: SB_B01,SB_S07,34,19,24,16,3,1
Connection: SB_B01,SB_A12,96,2,3,9,3,2
Connection: SB_A12,SB_A03,41,29,40,3,0,3
Connection: SB_C01,SB_B02,138,10,7,7,3,3
Connection: SB_B02,SB_C05,104,9,27,110,3,1
Connection: SB_C05,SB_I01,25,17,16,115,3,1
Connection: SB_A03,SB_E04,46,31,27,8,1,3
Connection: SB_E04,SB_G03,244,12,6,5,0,2
Connection: SB_E04,SB_C06,128,5,25,115,3,1
Connection: SB_C06,SB_S03,39,76,39,24,3,1
Connection: SB_C06,SB_F02,19,20,21,116,3,1
Connection: SB_F02,SB_D04,98,97,3,10,0,2
Connection: SB_F02,SB_I01,10,12,68,117,3,1
Connection: SB_D04,SB_S04,2,146,11,13,1,2
Connection: SB_G03,SB_J01,347,5,10,8,0,2
Connection: SB_G03,SB_F01,174,7,95,94,3,0
Connection: SB_F01,SB_J03,70,73,4,19,3,2
Connection: SB_F01,SB_I01,10,12,146,115,3,1
Connection: SB_J01,SB_ROOTACCESS,245,69,11,13,0,2
