GATE_UW_SS: 1509.114,149.9857,1090.757,141.3342,0,0
GATE_CC_UW: -2608.46,-178.4142,-1941.693,-74.44082,1,0
GATE_SH_UW: 2411.409,-2334.671,2037.742,-1819.288,1,0
GATE_SS_UW: -591.1537,2467.778,-596.0677,1995.694,0,0
GATE_UW_TR: -538.5241,-111.0152,-285.7144,-66.22063,1,0
UW_C08: 1193.78,117.8318,770.0076,118.9512,0,2
UW_C07: -908.882,2484.152,-921.278,2005.508,0,0
UW_H01: -1756.303,2480.149,-1755.243,1999.341,0,0
UW_A14: -2442.877,2482.152,-1873.277,2000.508,0,0
UW_A12: -2441.875,2363.461,-1873.33,1868.883,0,0
UW_F01: -2738.303,2070.148,-2067.242,1464.342,0,3
UW_A13: -2574.844,1729.544,-1882.107,1419.383,0,3
UW_S03: -2461.152,1729.779,-1763.066,1419.694,0,0
UW_E01: -2737.969,1426.25,-2068.075,1030.41,0,3
UW_A02: -2738.969,1080.249,-2070.075,882.4104,0,3
UW_J01: -2823.969,703.2477,-2187.075,429.4107,0,3
UW_A01: -2733.969,329.2487,-2073.075,302.4105,0,3
UW_D01: -2734.969,25.2487,-2066.075,-78.58926,0,3
UW_D07: -2662.969,-337.7513,-2044.075,-294.5893,0,3
UW_S04: -2571.902,-165.8279,-1927.864,41.27066,0,0
UW_C05: -2272.969,-402.7513,-1805.075,-293.5893,1,0
UW_D06: -1886.969,-330.7513,-1465.075,-302.5893,1,0
UW_ROOTACCESS01: -1882.793,-92.22654,-1462.868,-75.54738,1,0
UW_S01: -1655.569,-385.9653,-1230.95,-299.3973,1,0
UW_C04: -1496.969,-243.751,-1210.075,-205.5889,0,2
UW_D05: -905.9716,-236.751,-863.0771,-197.5892,0,2
UW_A04: -479.9715,-235.751,-381.076,-199.5892,0,2
UW_C02: -317.9713,-364.7513,-244.076,-386.5893,0,2
UW_A05: -200.9716,-176.7512,-162.0763,-74.58929,0,2
UW_C01: 34.0286,-288.7513,-111.076,-197.5892,0,2
UW_A03: 307.0285,-171.7512,266.924,-77.58929,0,2
UW_J02: 724.0284,-353.7513,341.924,-275.5893,0,2
UW_I01: 725.0284,2.248778,446.9239,-30.58926,0,2
UW_S02: 1028.429,-112.9658,773.0499,-31.39735,0,0
UW_A10: 293.6948,7.148863,265.7576,46.34433,0,2
UW_A11: 1129.698,-4.851141,878.7564,40.34433,0,2
UW_A06: 1138.03,-180.7512,883.9238,-176.5892,0,2
UW_E04: 1564.031,-292.7513,1009.924,-201.5891,0,2
UW_A08: 1992.031,-178.7512,1549.925,-147.5892,0,2
UW_C03: 2261.031,-301.7513,1672.925,-215.5889,0,2
UW_D04: 2648.031,-387.7513,2000.925,-309.5893,1,0
UW_B01: 2966.698,-312.9688,2255.698,-218.744,0,0
UW_S07: 3069.044,-192.0932,2370.442,-89.16157,0,0
UW_D03: 2405.031,-696.752,1877.925,-620.5896,1,1
UW_A09: 2741.031,-1135.75,2181.925,-760.5896,1,1
